id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
45956420,A Systematic Evaluation of Static API-Misuse Detectors,"Amann, Sven, Mezini, Mira, Nadi, Sarah, Nguyen, Hoan Anh, Nguyen, Tien N.",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
45956581,The AFLOW Fleet for Materials Discovery,"A Jain, AA Maradudin, AI Liechtenstein, AK Rappe, AR Supka, C Nyshadham, C Toher, C Toher, Camilo E. Calderon, CB Barber, Corey Oses, D Hicks, DD Landis, E Perim, Eric Gossett, F Legrain, F Rose, G Bergerhoff, G Kresse, G Kresse, G Pizzi, GLW Hart, J-P Poirier, JE Saal, JJ Plata, JP Perdew, K Schmalzl, K Yang, LA Agapito, LA Agapito, LA Agapito, LA Agapito, M Buongiorno Nardelli, M Jong de, M Scheffler, MA Blanco, MA Blanco, MJ Mehl, MM Elcombe, O Isayev, O Isayev, O Levy, O Levy, O Levy, P D’Amico, P Giannozzi, P Giannozzi, P Gopal, P Nath, P Nath, PE Blöchl, RH Taylor, S Barzilai, S Barzilai, S Barzilai, S Curtarolo, S Curtarolo, S Curtarolo, S Sanvito, SL Dudarev, SP Ong, SR Bahn, V Blum, VL Karen, W Kaiser, W Setyawan, X Andrade, X Gonze, Yoav Lederer",2017,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
47874544,Fostering SLA-Driven API Specifications,"Fernández Montes, Pablo, Gámez Díaz, Antonio, Ruiz Cortés, Antonio",2018,,String A,Unsure,,Exclude,EC3 - Too short / format issues
48124208,The development of an incremental debugging system : a thesis presented in partial fulfilment of the requirements for the degree of Master of Science in Computer Science at Massey University,"McDonald, Malcolm John",2018,,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
50067259,Fault Localization Models in Debugging,"Alansari, Zainab, Belgaum, Mohammad Riyaz, Miraz, Mahdi H., Soomro, Safeeullah",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
50069907,Multi-access Edge Computing: The driver behind the wheel of 5G-connected   cars,"Featherstone, Walter, Filippou, Miltiades C., Giust, Fabio, Mangiante, Simone, Munaretto, Daniele, Sabella, Dario, Sciancalepore, Vincenzo",2018,arXiv,String A,EXCLUDE,EC4 - Out of domain,,
50746805,The Three Pillars of Machine Programming,"Amarasinghe, Saman, Barzilay, Regina, Carbin, Michael, Gottschlich, Justin, Mattson, Tim, Rinard, Martin, Solar-Lezama, Armando, Tatbul, Nesime, Tenenbaum, Joshua B",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
50748079,Exploring the Naturalness of Buggy Code with Recurrent Neural Networks,"Gao, Ji, Lanchantin, Jack",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
50751996,COINS: ContinuOus IntegratioN in wirelesS technology development,"Bregar, Klemen, Fortuna, Carolina, Gregorc, Urban, Hrovat, Andrej, Mohorčič, Mihael, Smolnikar, Miha, Vučnik, Matevž, Šolc, Tomaž",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
50753848,An Extended Low Fat Allocator API and Applications,"Duck, Gregory J., Yap, Roland H. C.",2018,arXiv,String B,Unsure,,Exclude,EC3 - Too short / format issues
51328769,Enabling Automated Bug Detection for IP-based Designs using High-Level Synthesis,"Ferrandi, Fabrizio, Fezzardi, Pietro, Pilato, Christian",2018,IEEE,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
51390865,Open Astronomy Catalogs API,"Cowperthwaite, Philip S., Guillochon, James",2018,arXiv,String B,Unsure,,Exclude,EC3 - Too short / format issues
51392766,Effective Automated Decision Support for Managing Crowdtesting,"Krishna, Rahul, Menzies, Tim, Wang, Junjie, Wang, Qing, Yang, Ye",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
51392815,CloudLaunch: Discover and Deploy Cloud Applications,"Afgan, Enis, Goonasekera, Nuwan, Lonie, Andrew, Taylor, James",2018,arXiv,"String A, String B",EXCLUDE,EC4 - Not related to REST/Web API,,
51393032,Evaluating Manual Intervention to Address the Challenges of Bug Finding   with KLEE,"Galea, John, Heelan, Sean, Kroening, Daniel, Neville, Daniel",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
51692547,A web API ecosystem through feature based reuse,"Dumontier, Michel, Verborgh, Ruben",2018,IEEE,String A,Unsure,,Exclude,EC3 - Too short / format issues
51766589,API diversity for microservices in the domain of connected vehicles,"Gajek, Fabian",2018,,String A,Unsure,,Exclude,EC3 - Too short / format issues
52214571,REST-ler: Automatic Intelligent REST API Fuzzing,"Atlidakis, Vaggelis, Godefroid, Patrice, Polishchuk, Marina",2018,arXiv,"String A, String B",INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
52221801,IntRepair: Informed Repairing of Integer Overflows,"Eckert, Claudia, Grossklags, Jens, Monperrus, Martin, Muntean, Paul, Sun, Hao",2018,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54169481,EASYFLOW: Keep Ethereum Away From Overflow,"Chen, Zhong, Gao, Jianbo, Guan, Zhi, Li, Qingshan, Liu, Chao, Liu, Han",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54169972,SD-WAN Threat Landscape,"Gordeychik, Sergey, Kolegov, Denis",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54170045,"Modern RESTful API DLs and frameworks for RESTful web services API   schema modeling, documenting, visualizing","Kurgaev, Oleksandr, Malakhov, Kyrylo, Velychko, Vitalii",2019,arXiv,String A,EXCLUDE,EC5 - Not about test generation,,
54186936,Koji: Automating pipelines with mixed-semantics data sources,"Maymounkov, Petar",2019,arXiv,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
54187457,Externalization of Packet Processing in Software Defined Networking,"Comer, Douglas, Rastegarnia, Adib",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54189047,"BoostNet: Bootstrapping detection of socialbots, and a case study from   Guatemala","E Ferrara, E. Gallagher, EM Clark, M Stella, Nikan Chavoshi, Pablo Suárez-Serrato",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54217803,Investigating IoT Middleware Platforms for Smart Application Development,"A Al-Fuqaha, A Farahzadi, J Mineraud, KJ Singh, M Ammar, MA da Cruz, MA Razzaque, PP Ray",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
54445911,Multi-tenant Pub/Sub processing for real-time data streams,"Carrera Pérez, David, Villalba Navarro, Álvaro",2019,,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58947989,Symbolic QED Pre-silicon Verification for Automotive Microcontroller   Cores: Industrial Case Study,"Barrett, Clark, Devarajegowda, Keerthikumara, Ecker, Wolfgang, Fadiheh, Mohammad R., Ganesan, Karthik, Kunz, Wolfgang, Mitra, Subhasish, Schnieder, Ralf, Simon, Sebastian, Singh, Eshan, Stoffel, Dominik",2019,arXiv,String B,EXCLUDE,EC4 - Out of domain,,
58948447,Fearless Concurrency? Understanding Concurrent Programming Safety in   Real-World Rust Software,"Song, Linhai, Yu, Zeming, Zhang, Yiying",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58953449,A Microservice Architecture for Online Mobile App Optimization,"Medvidovic, Nenad, Zhao, Yixue",2019,arXiv,String B,EXCLUDE,EC4 - Out of domain,,
58955560,Virtual Representations for Iterative IoT Deployment,"Bader, Sebastian R., Maleshkova, Maria",2019,arXiv,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
58960476,Benchmarking Web API Quality -- Revisited,"Bermbach, David, Wittern, Erik",2019,arXiv,String A,Unsure,,Exclude,EC3 - Too short / format issues
58966217,"VIVoNet: Visually-represented, Intent-based, Voice-assisted Networking","Asthana, Amrita, Chaudhari, Amar, Gandotra, Rahil, Gangwar, Sapna, Gedia, Dewang, Kaluskar, Atharva, Karani, Lakshay, Perigo, Levi",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58966288,A Literature Study of Embeddings on Source Code,"Chen, Zimin, Monperrus, Martin",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58968379,"COCI, the OpenCitations Index of Crossref open DOI-to-DOI citations","Heibi, Ivan, Peroni, Silvio, Shotton, David",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58972744,Learning Semantic Vector Representations of Source Code via a Siamese   Neural Network,"Fede, Halley, Ferreira, Guilherme, Hughes, Joseph, Pence, Eleanor, Walczyk, John, Wehr, David, Zhang, Bo",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58974017,Characterizing and Detecting CUDA Program Bugs,"Liu, Cong, Wu, Mingyuan, Zhang, Lingming, Zhang, Yuqun, Zhou, Husheng",2019,arXiv,String B,EXCLUDE,EC4 - Out of domain,,
58976123,Hardware/Software Co-monitoring,"Chen, Bo, Cong, Kai, Lei, Li, Xie, Fei, Yang, Zhenkun",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
58981790,A Benchmark of Data Loss Bugs for Android Apps,"Mariani, Leonardo, Micucci, Daniela, Mobilio, Marco, Riganelli, Oliviero",2019,arXiv,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
65437071,Model-driven round-trip engineering of REST APIs,"Ed-douibi, Hamza",2019,,String A,Unsure,,Exclude,EC3 - Too short / format issues
67790766,The role of limitations and SLAs in the API industry,"Bhogill, Prithpal, Fernández Montes, Pablo, Gámez Díaz, Antonio, Kolekar, Nikhil, Mohaan, Madhurranjan, Molina, Pedro J., Méndez, Francisco, Ruiz Cortés, Antonio",2019,ACM,String A,Unsure,,Exclude,EC3 - Too short / format issues
67791045,Governify for APIs: SLA-Driven Ecosystem for API Governance,"Fernández Montes, Pablo, Gámez Díaz, Antonio, Ruiz Cortés, Antonio",2019,,String A,EXCLUDE,EC5 - Not about test generation,,
67796558,Automating SLA-Driven API Development with SLA4OAI,"Fernández Montes, Pablo, Gámez Díaz, Antonio, Ruiz Cortés, Antonio",2020,,String A,EXCLUDE,EC5 - Not about test generation,,
74256030,Programming patterns and development guidelines for Semantic Sensor Grids (SemSorGrid4Env),"De Roure, David, Frazer, Alex J., Martinez, Kirk, Nagel, Bart, Page, Kevin R.",2012,,String A,EXCLUDE,IC2 - Published before 2018,,
75651095,RAMLFlask: Managing artifact coupling for Web APIs,"Maurer, Michael, Sobernig, Stefan, Strembeck, Mark",2019,,String A,Unsure,,Exclude,EC3 - Too short / format issues
76745410,"The Personal Genome Project-UK, an open access resource of human multi-omics data","Beck, Stephan, Berner, Alison, Chervova, Olga, Conde, Lucia, Guerra-Assunção, José Afonso, Hamoudi, Rifat, Herrero, Javier, Jesus, Tiago F., Larose Cadieux, Elizabeth, Moghul, Ismail, Tian, Yuan, Voloshin, Vitaly, Webster, Amy P.",2020,,"String A, String B",EXCLUDE,EC4 - Out of domain,,
